"canopy_category","region_acres","ref_area_canopy","cur_area_canopy","ref_perc_canopy","cur_perc_canopy","percent_change","sign_change","area_change","region"
"CLS",210073652.106363,11773169.08,21794884.5064725,5.60430542428952,10.3748777097651,5,TRUE,10021.7154264725,0
"OPN",210073652.106363,26885644.17,7498623.6936315,12.7981990603883,3.56952126953781,-9,FALSE,-19387.0204763685,0
