"frg_grp","region_acres","ref_acre_frg","cur_acre_frg","ref_perc_frg","cur_perc_frg","percent_change","sign_change","area_change","region"
"4 & 5",210073652.106363,32670964.45,30988491.2177715,15.5521476027171,14.7512507670794,-1,FALSE,-1682.4732322285,0
"3",210073652.106363,21587654.69,15356842.391781,10.2762314424228,7.31021822003915,-3,FALSE,-6230.812298219,0
"1 & 2",210073652.106363,41649921.09,32112191.691729,19.8263421768438,15.2861586256758,-5,FALSE,-9537.729398271,0
